101205.12,0.0,0.0,9.8,0.0,-12,345
101205.13,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.14,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.15,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.16,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.17,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.18,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.19,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.10,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.11,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.13,0.0,0.0,9.8,0.0,-12,345
101205.12,0.0,0.0,9.8,0.0,-12,345
101205.14,0.0,0.0,9.8,0.0,-12,345
